24,80
83,61
25,73
67,37
100,30
51,96
48,26
63,0
10,56
69,36
70,85
70,30
1,72
68,50
81,9
62,78
94,19
38,8
84,2
99,9
15,1
87,71
15,49
48,71
90,78
90,90
73,48
27,39
49,72
54,77
34,71
59,18
67,7
9,80
89,3
42,77
100,31
18,56
27,83
46,8
43,72
99,7
99,67
71,81
37,33
40,37
53,80
8,86
51,46
12,40
88,92
56,93
60,86
15,17
31,56
11,9
66,84
54,18
1,85
29,53
69,94
44,39
88,39
71,50
86,95
35,75
30,65
30,44
75,11
74,60
93,69
39,27
47,28
100,49
1,71
83,5
17,94
61,61
89,85
13,48
92,92
39,30
92,48
16,67
50,23
32,59
57,35
24,0
54,50
19,92
62,18
75,45
85,9
20,95
33,32
49,11
29,41
96,17
93,1
28,34
